docdb_family_id,appln_id,appln_filing_year,appln_auth,appln_nr,docdb_family_size,nb_applicants,nb_inventors,person_ctry_code,person_name,person_id,doc_std_name_id,psn_sector,applt_seq_nr,invt_seq_nr,person_name_normalized
8099879,3814,2000,EP,08159171,13,1,6,DK,"HENDRIKSEN, Hanne Vang",720264,309254,,0,5,"Hendriksen, Hanne Vang"
8099879,3814,2000,EP,08159171,13,1,6,DK,"Vind, Jesper",4362530,48670,,0,4,"Vind, Jesper"
8099879,3814,2000,EP,08159171,13,1,6,DK,"Nielsen, Bjarne Ronfeldt",44731233,114413,,0,1,"Nielsen, Bjarne Ronfeldt"
8099879,3814,2000,EP,08159171,13,1,6,DK,"Svendsen, Allan",44731234,7379,,0,2,"Svendsen, Allan"
8099879,3814,2000,EP,08159171,13,1,6,DK,"Pedersen, Henrik",44731235,11726,,0,3,"Pedersen, Henrik"
8099879,3814,2000,EP,08159171,13,1,6,DK,"Frandsen, Torben Peter",44731236,408551,,0,6,"Frandsen, Torben Peter"
8099879,3814,2000,EP,08159171,13,1,6,DK,Novozymes A/S,53422163,2643,COMPANY,1,0,Novozymes A/S
8099879,524975,2000,AR,P000103471,13,1,0,DK,Novozymes A/S,5924112,2643,COMPANY,1,0,Novozymes A/S
8099879,2076149,2000,AU,5805700,13,1,6,,Novozymes A/S,8305590,2643,COMPANY,1,0,Novozymes A/S
8099879,2076149,2000,AU,5805700,13,1,6,,ALLAN SVENDSEN,13629129,7379,,0,2,Allan Svendsen
8099879,2076149,2000,AU,5805700,13,1,6,,JESPER VIND,13678894,48670,,0,4,Jesper Vind
8099879,2076149,2000,AU,5805700,13,1,6,,HANNE VANG HENDRIKSEN,13691254,309254,,0,5,Hanne Vang Hendriksen
8099879,2076149,2000,AU,5805700,13,1,6,,HENRIK PEDERSEN,13705411,11726,INDIVIDUAL,0,3,Henrik Pedersen
8099879,2076149,2000,AU,5805700,13,1,6,,TORBEN PETER FRANDSEN,13888505,408551,,0,6,Torben Peter Frandsen
8099879,2076149,2000,AU,5805700,13,1,6,,BJARNE RONFELDT NIELSEN,14028363,114413,,0,1,Bjarne Ronfeldt Nielsen
8099879,4741441,2000,CA,2374009,13,1,6,DK,Novozymes A/S,5924112,2643,COMPANY,1,0,Novozymes A/S
