docdb_family_id,inventors,applicants,appln_ids
65010658,"De Haan, Jan M., Jae1, Jamaa34C, Jensen, Jesper, Kaba A, Masaa1214A34, Pac Cz, Pedersen, Michael Syskind, Petersen, Svend Oscar, Rasmussen, Karsten Bo, Saoacsc1, Sommer, Peter","Aeaaoetma...A , Oticon A/S","524556395, 534168553, 534685383, 575399393"
65363135,"Aahaa, Bureika, Edvinas, Caaaez 1, Dannesboe, Gorm, Eaa E34A, Gaa 1Ezc , Jaaac12 14, Kaba A, Larsen, Mathias Bruun, Maa14A, Mabaa, Mogensen, Christian Asp, Nielsen, Mikkel, Pedersen, Troels Holm, Petersen, Svend Oscar, Rasmussen, Karsten Bo, Roug, Jacob Anders, Saoaa1214C1, Tahaa1214A34, Thomsen, Anders Ha Jsgaard","Aeaaoetma...A , Oticon A/S","524471129, 536215881, 536363232, 569175030, 612867558"
69061392,"Hansen, Hans Na Rgaard, Pedersen, David Bue, Riba, Macarena Mandez",Danmarks Tekniske Universitet,524471431
69104452,"Kringelum Jens, Kringelum, Jens, Petersen Nadia V, Petersen, Nadia, Petersen, Nadia Viborg, Petersen, Nadia, Viborg, Ra Na , Birgitte, Rono Birgitte, Rono, Birgitte, Sa Rensen, Anders, Sa Rensen, Anders Bundgard, Sa Rensen, Anders, Bundgard, Sorensen Anders B, Sorensen, Anders Bundgard","Evaxion Biotech A/S, Evaxion Biotech Aps","524285174, 524815030, 554761027, 556194646, 556947872, 567671128"
69104455,"Naesby, Michael","Barrit Sarl, Iptector Assets Aps","524471407, 524815037"
69105885,"Bisek Nicola, Bisek, Nicola, Lessmann Torben, Lessmann, Torben, Sproga E Kennett, Sproga E, Kennett, Sprogoe, Kennett, Sprogqe Kennett, Stark Sebastian, Stark, Sebastian, Voigt Thomas, Voigt Tobias, Voigt, Tobias, Weisbrod Samuel, Weisbrod, Samuel, Yang Malten Yang, Yang, Malten Yang, Yang-Malten Yang, Yang-Malten, Yang","Ascendis Pharma A/S, Ascendis Pharma Oncology Division A, Ascendis Pharma Oncology Division A/S","524399045, 524896462, 546428022, 552770601, 555091043, 556046735, 557219118, 557943304, 559434148, 567681693, 592387731, 610280409"
69137749,"De Vries Ruben Adrianus Johannes, De Vries, Rob, De Vries, Rob Anton Jurjen, De Vries, Rob, Anton, Jurjen, Dittberner Andrew Burke, Dittberner, Andrew, Dittberner, Andrew Burke, Dittberner, Andrew, Burke, Ma Changxue, Ma, Changxue","Big North European Hearing Company, Gn Hearing A/S","524471086, 532404807, 532597390, 574090326"
69137789,"Vendelbo, Allan Munk",Gn Hearing A/S,"524471176, 543579144, 587390898"
69137801,"Bra Dsgaard, Martin, Sa Rensen, Sa Ren Hove, Seaward, James, Yves Debruyne, Yannick",Vestas Wind Systems A/S,524471215
69147482," Eesaazeza, Aa A14Agaa34C12C , Anthony G Turoso, E Aaza, Eetmaeetm, Russell Sarah, Russell, Sarah, Sarah Russell, Simon Simonsen, Simonsen Simon, Simonsen, Simon, Stephen Wallace, Turoso Anthony G., Turoso, Anthony, Turoso, Anthony G., Wallace Stephen, Wallace, Stephen","3Tmaa Cetme Aa...A , Tempur World Llc, Tempur World, Llc","524593426, 534159405, 534468641, 534551524, 534955677, 535830747, 536387442, 576799010, 598516955, 601089958, 606853012, 607087233"
69147539,"Anders Hjermoe Michaelsen, Chappell Thomas John, Chappell, Thomas, Chappell, Thomas John, Davids Soren, Davids, Sa Ren, Michaelsen Anders Hjermo, Michaelsen, Anders Hjerma , Nielsen Henrik, Nielsen, Henrik, Soeren Davids, Thomas John Chappell","Gn Hearing A S, Gn Hearing A/S, Gn Hearing As","524593569, 550886214, 551901717, 552397108, 603120967"
69147693,"Bisek Nicola, Bisek, Nicola, David B. Rosen, Holten Andersen Lars, Holten-Andersen Lars, Holten-Andersen, Lars, Lessmann Torben, Lessmann, Torben, Punnonen Juha, Punnonen, Juha, Rosen David B, Rosen David B., Rosen, David B, Rosen, David B., Sproga E Kennett, Sproga E, Kennett, Sprogoe Kennett, Sprogoe, Kennett, Stark Sebastian, Stark Stephen, Stark, Sebastian, Voigt Thomas, Voigt Tobias, Voigt, Tobias, Weisbrod Samuel, Weisbrod, Samuel, Yang Malten Yang, Yang-Malten Yang, Yang-Malten, Yang, Zuniga Luis, Zuniga, Luis","Ascendis Pharma A/S, Ascendis Pharma Oncology Division A, Ascendis Pharma Oncology Division A/S","524399047, 524948770, 551596555, 553503781, 555090166, 556204211, 557218614, 557943953, 567232611, 592387575, 610280397"
69147694,"Bisek, Nicola, Holten-Andersen, Lars, Lessmann, Torben, Punnonen, Juha, Rosen, David B, Rosen, David B., Sproga E, Kennett, Sprogoe, Kennett, Stark, Sebastian, Voigt, Tobias, Weisbrod, Samuel, Yang-Malten, Yang, Zuniga, Luis","Ascendis Pharma A/S, Ascendis Pharma Oncology Division A/S","524399049, 524948771, 551868664, 553504718, 555090149, 557218684, 567232620"
69159759,"Bisek, Nicola, Holten-Andersen, Lars, Lessmann, Torben, Punnonen, Juha, Rosen, David B, Rosen, David B., Sproga E, Kennett, Sprogoe, Kennett, Stark, Sebastian, Voigt, Tobias, Weisbrod, Samuel, Yang-Malten, Yang, Zuniga, Luis","Ascendis Pharma A/S, Ascendis Pharma Oncology Division A/S","524399053, 525041137, 552770551, 555091067, 556047460, 557220290, 567232654"
69167794,"Andreas Hougaard Laustsen, Laustsen Andreas Hougaard, Laustsen Mads Aage, Laustsen, Andreas, Laustsen, Andreas Hougaard, Laustsen, Andreas, Hougaard, Laustsen, Mads, Laustsen, Mads Aage, Laustsen, Mads, Aage, Mads Aage Laustsen, Sandra Wingaard Thrane, Thrane Sandra Wingaard, Thrane, Sandra, Thrane, Sandra Wingaard, Thrane, Sandra, Wingaard",Bactolife Aps,"524471443, 525125849, 558625771, 571012770, 610330679"
