docdb_family_id,inventors,applicants,appln_ids
58737839,"A Ystein Evensen, Evensen, A Ystein, Evensen, Oystein, Jan Ove Morlandsta , Morlandsta , Jan Ove, Morlandsto, Jan Ove, Per Olav Skjervold, Skjervold, Per Olav","Norifish As, Norimun As","474554890, 474554892, 479010322, 479010323, 483397346, 496633400, 496633406, 508722112, 508722140, 524895656, 524895658, 531666520, 532681828"
65019352,"Doppelbauer, Ga14Nter, Heeren, Arjan, Verbruggen, Marijn",Yara International Asa,"505759747, 524642146, 524645690"
65023730,"Andrea Bassi, Bassi, Andrea, Deshmukh, Salim, Geir Vingelven, Mikkelsen, Rena, Rena Mikkelsen, Salim Deshmukh, Vingelven, Geir","Grant Prideco, Inc., Nov Process & Flow Technologies As","505760009, 524593943, 554223501, 557980804, 569635385"
65200684,"Lian, Pei, Lian, Pei, Ling, Yoon, Jae, Yoon, Jae, Myung",Nov Process & Flow Technologies As,"506385418, 524996761"
65528167,"Chen De, Chen, De, Rout Kumar Ranjan, Rout, Kumar Ranjan, Yeboah Isaac, Yeboah, Isaac","Norwegian Univ Sci & Tech Ntnu, Norwegian University Of Science And Technology, Norwegian University Of Science And Technology (Ntnu), Norwegian University Of Science And Technology Ntnu, Quantafuel Asa, Sintef As, Sintef As By Its Inst Sintef Industry, Sintef As, By Its Institute Sintef Industry","508715356, 525097367, 525221141, 563068798, 568124510"
65998867,"Hansen Stein Ivar, Hansen, Stein Ivar, Stein Ivar Hansen","Sensocure A.S., Sensocure As","510936607, 524797185, 524948723, 556921391, 557768850, 559935459, 560484003, 562455088, 594401720, 610260596"
68208285,"Winger, Julius Andreas",Minimeis As,524996745
69137772,"A Yen, Geir, Bauger, A Ystein, Bauger, Oystein, Oyen, Geir, Pettersen, Tanja, Reiso, Oddvin, Rist, Snorre, Romfo, Alf Inge, Steen, Idar Kjetil",Norsk Hydro Asa,"524471144, 525144058, 534893389, 534905363"
69143432,"Bailey, Paul Robert",Navico Holding As,"524556443, 536563105, 536579207, 536580844, 537331044"
69159551,"Kvam Gerd, Unni, Kvam, Gerd Unni, Wieser Martin, Kurt, Wieser, Martin Kurt","Elopak As, Elopak Asa","524815671, 555739991, 580133138, 585882052"
69159669,"Steinfeld, Ingo","Eugen Notter Gmbh Beschlagefabrik, Hydro Extruded Solutions As","524931401, 525341523, 580175662"
69172731,"Edvardsen Lars, Edvardsen, Lars, Espeseth Robert, Espeseth, Robert, Shetiva Ganesh, Shetiva, Ganesh, Shetiya, Ganesh, Skryten Pal, Skryten, Pal",Abb Schweiz Ag,"524931799, 554002332, 554028360, 581667404, 583552661"
69177150,"Baeaaa14 1, Gihleengen Britt Elin, Gihleengen, Britt Elin","E Oa A34A...A , Norsk Hydro Asa","525075283, 525283358, 537189355, 555570609, 556187258, 556948010, 559469561, 573861137, 593364932, 612708593"
69185494,"Arlehed, Petter, Kapelus, Aaron",Asamedic As,"525074762, 544460253"
69187674,"Strand, Thor, Ta Nnessen, Frank","National Oilwell Varco Norway As, National Oilwell Vareo Norway As","525074998, 554296884"
