docdb_family_id,inventors,applicants,appln_ids
65010599,"Li Youyi, Li, Youyi, Shi Zhanpeng, Shi, Zhanpeng, Wang Jianping, Wang, Jianping","Abb Power Grids Switzerland Ag, Abb Schweiz Ag, Hitachi Energy Ltd","524471419, 524642000, 555495385, 569165440"
65013535,"Aaaetme3434, Gebert, Michael, Hulko, Michael, Ma 14E C1, Maa14Ac, Menda, Ralf","C A C12A14Eaaosea12A...A , Gambro Lundia Ab","505752470, 524593925, 524815043, 555652661, 569161199"
65324259,"Gunnefur Jacob, Gunnefur, Jacob, J. Gunnefur",Blueair Ab,"524471437, 524642002, 555494871, 559467524, 570137605"
68610150,"Muaoz De La Torre Alonso, Miguel, Muaoz De La Torre Alonso, Miguel Angel, Muaoz De La Torre Alonso, Miguel, Angel, Sanchez Vega, Veronica",Telefonaktiebolaget Lm Ericsson (Publ),"524556785, 524642005, 609591842"
68610151,"Castellanos Zamora David, Castellanos Zamora, David, De Gregorio Rodriguez, Jesus Angel, De Gregorio-Rogriguez Jesus-Angel, De-Gregorio-Rodriguez, Jesus-Angel, Dopico Sanjuan, Jos A , Dopico Sanjuan, Jose Miguel, Foti, George, Garcia Martin Miguel Angel, Garcia Martin, Miguel Angel, Miguel","Sweden Ericsson Co., Ltd., Telefonaktiebolaget Lm Ericsson (Publ)","524399071, 524641999, 574660253, 584897543"
69104324,"Ajellal Noureddine, Ajellal, Noureddine, Al Haj Ali Mohammad, Al-Haj Ali Mohammad, Al-Haj Ali, Mohammad, Bergstedt, Martin, Bergstra Michiel, Bergstra, Michiel, Eriksson Erik, Eriksson, Erik, Slaechter, Heinz, Sleijster Henry, Sleijster, Henry, Vijay Sameer, Vijay, Sameer, Wumitsch, Christof, Wurnitsch Christof, Wurnitsch, Christof, Zitting Samuli, Zitting, Samuli",Borealis Ag,"524393870, 542448635, 562112646, 577554255, 578015386, 579784743, 583589757"
69104328,"Ajellal Noureddine, Ajellal, Noureddine, Al Haj Ali Mohammad, Al-Haj Ali Mohammad, Al-Haj Ali, Mohammad, Weber Charlotta, Weber Christoph, Weber, Charlotta",Borealis Ag,"524393880, 543430402, 564896282, 579012644, 579313305, 579784797, 588125199"
69104451,"Eleftheriadis, Lackis, Fikouras, Ioannis, Jin, Yifei, Karapantelakis, Athanasios, Teslenko, Maxim",Telefonaktiebolaget Lm Ericsson (Publ),"524593839, 587393252"
69105737,"Diaz Lapez, Josa Francisco, La3Pez, Josa Diaz, Nguyen, Khoa Tan, Nilsson, Johan, Sun, Quan",Qliktech International Ab,"524398614, 534171968"
69137709,"Daaz La3Pez, Josa, Diaz Lapez, Josa Francisco, Krupinski, Pawel Rafal, La3Pez, Josa Diaz, Nguyen, Khoa Tan, Nilsson, Johan",Qliktech International Ab,"524398618, 534166180, 605232194"
69143590,"Consoli, Antonio, Hamidian Ali, Hamidian, Ali, Vakeesar, Siva, Vicasa, Siva","Huawei Technologies Co., Ltd., Vakeesar, Siva","524618491, 577553183"
69147553,"Abrahamsson Per, Abrahamsson, Per, Nordlaf, Ulf, Nordloef Ulf, Nordlof Ulf, Nordlof, Ulf, Per Abrahamsson, Pontus Sundstram, Sundstram, Pontus, Sundstroem Pontus, Sundstrom, Pontus, Sundstru M, Pontus, Ulf Nordlaf, Ulf Wennberg, Wenberg Ulf, Wennberg Ulf, Wennberg, Ulf",Ecolean Ab,"524593598, 542852825, 575919722, 580133540, 580272290, 580377538, 581995981, 587384556, 615071921"
69147557,"Averheim, Andreas, Bjarklund, Peter",Valmet Ab,"524593606, 553597615"
69147564,"Averheim, Andreas, Bjarklund, Peter",Valmet Ab,"524593622, 572668306"
69156186,"Carlsson Tommy, Carlsson, Tommy, Christer Holmberg, Holmberg Christer, Holmberg, Christer, Tommy Carlsson","Bombardier Transportalion Gmbh, Bombardier Transportation Gmbh","524593528, 536576687, 536830066, 538178624"
