docdb_family_id,person_ctry_code,combined_ratio
65010599,CH,0.25
65010599,SE,0.75
65013535,DE,0.75
65013535,SE,0.25
65324259,SE,1.0
68610150,ES,0.6666666666666666
68610150,SE,0.3333333333333333
68610151,CA,0.16666666666666666
68610151,ES,0.6666666666666666
68610151,SE,0.16666666666666666
69104324,AT,0.3333333333333333
69104324,BE,0.1111111111111111
69104324,FI,0.3333333333333333
69104324,NL,0.1111111111111111
69104324,SE,0.1111111111111111
69104328,AT,0.25
69104328,FI,0.5
69104328,SE,0.25
69104451,SE,1.0
69105737,SE,1.0
69137709,SE,1.0
69143590,CN,0.2
69143590,SE,0.8
69147553,SE,1.0
69147557,SE,1.0
69147564,SE,1.0
69156186,DE,0.5
69156186,SE,0.5
