docdb_family_id,appln_id,appln_filing_year,appln_auth,appln_nr,docdb_family_size,earliest_publn_date,nb_applicants,nb_inventors,person_ctry_code,person_name,person_id,doc_std_name_id,psn_sector,applt_seq_nr,invt_seq_nr
65010599,524471419,2020,WO,2020050160,5,2020-07-16,1,3,SE,"WANG, JIANPING",13058620,109724,INDIVIDUAL,0,1
65010599,524471419,2020,WO,2020050160,5,2020-07-16,1,3,SE,"SHI, ZHANPENG",48962684,22475768,INDIVIDUAL,0,2
65010599,524471419,2020,WO,2020050160,5,2020-07-16,1,3,SE,"LI, YOUYI",52947756,2003667,INDIVIDUAL,0,3
65010599,524471419,2020,WO,2020050160,5,2020-07-16,1,3,CH,ABB POWER GRIDS SWITZERLAND AG,76163164,32094759,COMPANY,1,0
65010599,524642000,2020,EP,20700023,5,2021-11-17,1,3,CH,ABB Power Grids Switzerland AG,74435419,32094759,COMPANY,1,0
65010599,524642000,2020,EP,20700023,5,2021-11-17,1,3,SE,"SHI, Zhanpeng",81709522,22475768,UNKNOWN,0,2
65010599,524642000,2020,EP,20700023,5,2021-11-17,1,3,SE,"WANG, Jianping",81709764,109724,UNKNOWN,0,1
65010599,524642000,2020,EP,20700023,5,2021-11-17,1,3,SE,"LI, YouYi",81754430,2003667,UNKNOWN,0,3
65010599,555495385,2020,CN,202080008161,5,2021-08-13,1,3,  ,LI YOUYI,59326611,2003667,,0,3
65010599,555495385,2020,CN,202080008161,5,2021-08-13,1,3,  ,WANG JIANPING,63308695,109724,INDIVIDUAL,0,1
65010599,555495385,2020,CN,202080008161,5,2021-08-13,1,3,  ,SHI ZHANPENG,69389988,22475768,,0,2
65010599,555495385,2020,CN,202080008161,5,2021-08-13,1,3,  ,ABB SCHWEIZ AG,74906339,1213,COMPANY,1,0
65010599,569165440,2020,US,202017421442,5,2022-03-24,1,3,SE,"Wang, Jianping",47326300,109724,INDIVIDUAL,0,1
65010599,569165440,2020,US,202017421442,5,2022-03-24,1,3,SE,"LI, YouYi",56874726,109724,,0,3
65010599,569165440,2020,US,202017421442,5,2022-03-24,1,3,SE,"Shi, Zhanpeng",57993679,942529,,0,2
65010599,569165440,2020,US,202017421442,5,2022-03-24,1,3,CH,HITACHI ENERGY LTD,90782813,41689436,UNKNOWN,1,0
65013535,505752470,2019,EP,19151083,5,2020-07-15,1,3,SE,Gambro Lundia AB,214441,10628,COMPANY,1,0
65013535,505752470,2019,EP,19151083,5,2020-07-15,1,3,DE,"Menda, Ralf",49319424,1959399,,0,2
65013535,505752470,2019,EP,19151083,5,2020-07-15,1,3,DE,"Hulko, Michael",53329600,1803384,,0,3
65013535,505752470,2019,EP,19151083,5,2020-07-15,1,3,DE,"Gebert, Michael",74464866,33095013,,0,1
65013535,524593925,2020,WO,2020050346,5,2020-07-16,1,3,SE,Gambro Lundia AB,5322720,10628,COMPANY,1,0
65013535,524593925,2020,WO,2020050346,5,2020-07-16,1,3,DE,"MENDA, RALF",42344360,1959399,INDIVIDUAL,0,3
65013535,524593925,2020,WO,2020050346,5,2020-07-16,1,3,DE,"HULKO, MICHAEL",53889086,1803384,,0,2
65013535,524593925,2020,WO,2020050346,5,2020-07-16,1,3,DE,"GEBERT, Michael",76225130,33095013,,0,1
65013535,524815043,2020,EP,20700078,5,2021-11-17,1,3,DE,"Menda, Ralf",49319424,1959399,,0,3
65013535,524815043,2020,EP,20700078,5,2021-11-17,1,3,DE,"Hulko, Michael",53329600,1803384,,0,2
65013535,524815043,2020,EP,20700078,5,2021-11-17,1,3,SE,Gambro Lundia AB,53446965,10628,COMPANY,1,0
65013535,524815043,2020,EP,20700078,5,2021-11-17,1,3,DE,"Gebert, Michael",74464866,33095013,,0,1
65013535,555652661,2020,CN,202080007984,5,2021-08-17,1,3,  ,æ‹‰å°”å¤«Â·è’™è¾¾,62785470,26994217,,0,3
65013535,555652661,2020,CN,202080007984,5,2021-08-17,1,3,  ,ç”˜å¸ƒç½—ä¼¦è¿ªäºšè‚¡ä»½å…¬å¸,63078083,28135053,COMPANY,1,0
