Record Number;Title;Priority Country Code;Current Assignee;Assignee;Assignee Original;Current Owner;Publication/Issue Date;Filing/Application Date;CPC;IPC All Versions (IC);Simple Family Members;SFAM All countries;Publication Country;360° Quality;Priority Date;Priority Year;Attorney;Attorney Address;Assignee Country;Inventor Country;No. of Assignees;No. of Inventors;Legal Status (Dead/Alive);Legal Quality;Is Litigated;Is Opposed;Litigation Details;Citation Quality;Intrensic Quality;Market Quality;Record Type;Simple Family ID
EP4378308A3;ACTIVE BACK/ABDOMEN ORIENTATION UNIT FOR ANESTHETIZED FISH AND SYSTEM FOR AUTOMATED VACCINATION OF ANESTHETIZED FISH COMPRISING THE SAME;NO;MASKON AS  ( NO );MASKON AS (NO);MASKON AS (NO);MASKON AS;23-Oct-2024;29.nov.23;"A61D1/025; A01K61/95; Y02A40/81; A22C25/12; A01K61/13";"A01K61/95; A22C25/12";"EP4378308A2 / EP4378308A3
 NO347823B1 / NO20221295A1";EP, NO;EP;nov.99;02-Dec-2022;2022;CURO AS (7075 TILLER, NO);VESTRE ROSTEN 81;NO;NO-5;1;5;ALIVE;13;No;No;None;08.jun;23.28;12.aug;Application;89029748
EP3705835B1;A COUPLING;NO;ATEC HOLDING AG;ATEC HOLDING AG (NO);A TEC HOLDING AS (NO);ATEC HOLDING AG;4-May-2022;05.mar.20;"F41A21/325; F41A21/34";F41A21/32;"US11156423B2 / US2020284542A1
 EP3705835A1 / EP3705835B1
 DK3705835T3
 ES2923441T3
 NO344990B1
 PL3705835T3";NO, ES, PL, DK, EP, US;EP;24.32;08.mar.19;2019;ONSAGERS AS (0123 OSLO, NO);PO BOX 1813 VIKA;NO;NO-2;1;2;ALIVE;33;No;No;None;11.mar;16.79;38.4;Patent;69770749
EP3812757A1;METHOD AND APPARATUS FOR DETECTING A PROPERTY OF A LIQUID MEDIUM, UREA SENSOR SYSTEM, COMPUTER PROGRAM PRODUCT AND COMPUTER-READABLE STORAGE MEDIUM;EP;TE CONNECTIVITY NORGE AS  ( NO );TE CONNECTIVITY NORGE AS (NO);TE CONNECTIVITY NORGE AS (NO);TE CONNECTIVITY LTD;28.apr.21;22-Oct-2019;"G01N29/48; G01N2291/011; G01N2291/02433; G01N2291/022; G01N29/4427; G01N29/032; G01N29/343; G01N2291/015; G01N29/024; G01N2291/102; G01N29/4463; G01N29/32; G01N2291/045; G01N2291/044; G01N33/493";"G01N29/024; G01N29/032; G01N29/48";"US11346837B2 / US2021116437A1
 EP3812757A1
 CN112697875A";EP, CN, US;EP;19.34;22-Oct-2019;2019;GRUNECKER PATENT UND RECHTSANWALTE PARTG MBB (80802 MÜNCHEN, DE);LEOPOLDSTRASSE 4;NO;NO-2;1;2;ALIVE;28.mai;No;No;None;feb.78;27.feb;32.75;Application;68342549
EP3629604B1;SOUND SYSTEM FOR TUNNELS, CORRIDORS AND OTHER LONG AND NARROW CONFINED SPACES;NO;NORPHONIC AS  ( NO );NORPHONIC AS (NO);NORPHONIC AS (NO);NORPHONIC AS;17.jul.24;10.sep.19;"H04R29/007; H04R3/12; H04R1/403; G10L25/51; G06F3/165; H04R27/04; H04R27/00; H04R1/406; G08B29/24; G08B7/066; A62B3/00; G08B3/10; H04R29/002; H04R1/40";"H04R27/00; A62B3/00; G08B3/10; H04R3/12";"US11218825B2 / US2020107145A1
 EP3629604A1 / EP3629604B1 / EP3629604C0
 NO345184B1 / NO20181266A1";NO, EP, US;EP;25.79;28.sep.18;2018;ZACCO NORWAY AS (0213 OSLO, NO);PO BOX 488 SKØYEN;NO;NO-2;1;2;ALIVE;31.mai;No;No;None;25.97;15.87;25.mai;Patent;67953548
EP3354908B1;KEDER RAIL CLAMP, KEDER LOCKING SYSTEM AND METHOD FOR USE OF KEDER RAIL CLAMP;NO;DYRNES RALPH P  ( NO ),ELLINGSEN BIRGITTE HJELDE  ( NO );"DYRNES RALPH P (NO); ELLINGSEN BIRGITTE HJELDE (NO)";"DYRNES RALPH P (NO); ELLINGSEN BIRGITTE HJELDE (NO)";DYRNES RALPH P, ELLINGSEN BIRGITTE HJELDE;04.nov.20;03.jan.18;"G09F15/0012; F16B5/0692; G09F15/025; G09F2017/0041; G09F15/0018";"G09F15/02; F16B5/06; G09F17/00";"EP3354908A1 / EP3354908B1
 DK3354908T3
 NO342720B1 / NO20170134A1";NO, DK, EP;EP;14;27.jan.17;2017;BRYN AARFLOT AS (0104 OSLO, NO);PO BOX 449 SENTRUM;NO;NO-2;2;2;ALIVE;31.mai;No;No;None;0.75;21.98;17.35;Patent;61007449
EP3163011B1;SUBSEA WELL TEMPLATE;NO;VETCO GRAY SCANDINAVIA AS  ( NO );VETCO GRAY SCANDINAVIA AS (NO);VETCO GRAY SCANDINAVIA AS (NO);GENERAL ELECTRIC CO;18.sep.19;24-Oct-2016;"E21B41/08; E21B41/0007; E21B33/035";E21B41/08;"EP3163011A1 / EP3163011B1
 DK3163011T3
 NO341175B1 / NO20151480A1";EP, DK, NO;EP;20.79;29-Oct-2015;2015;BRP RENAUD & PARTNER (70173 STUTTGART, DE);KÖNIGSTRAßE 28;NO;NO-1;1;1;ALIVE;37.5;No;No;None;15.aug;17.64;17.35;Patent;57189948
EP2295099A1;Unit for safe unsheathing and re-sheathing of syringe needles;EP;BMO MEDICAL LTD  ( NO );BMO MEDICAL LTD (NO);BMO MEDICAL LTD (NO);BMO MEDICAL LTD;16.mar.11;14.sep.09;"A61M5/3204; A61M2005/3215; A61M5/3213";A61M5/32;EP2295099A1;EP;EP;mar.52;14.sep.09;2009;ACAPO AS (5817 BERGEN, NO);PO BOX 1880 NORDNES;NO;NO-2;1;2;DEAD;0;No;No;None;04.sep;15.63;0;Application;41683449
EP2277851A1;Acetylation using reduced volume of acetic acid anhydride for synthesizing non-ionic X-ray contrast agents;US;GE HEALTHCARE AS  ( NO );GE HEALTHCARE AS (NO);GE HEALTHCARE AS (NO);GENERAL ELECTRIC CO;26.jan.11;11-Dec-2009;"C07C231/02; C07C237/46";"C07C231/02; C07C237/46";EP2277851A1;EP;EP;jul.18;21.jul.09;2009;"WULFF MARIANNE WEIBY (0401 OSLO, NO); WULFF MARIANNE WEIBY ET AL IID 101105444 GE HEALTHCARE AS PO BOX 4220 NYDALEN NYCOVEIEN 1 2 0401 OSLO NO";GE HEALTHCARE AS PO BOX 4220 NYDALEN NYCOVEIEN 1 2;NO;NO-3;1;3;DEAD;0;No;No;None;13.mar;19.67;0;Application;41435449
EP2248798A1;Novel lipid compounds;EP;PRONOVA BIOPHARMA NORGE AS  ( NO );PRONOVA BIOPHARMA NORGE AS (NO);PRONOVA BIOPHARMA NORGE AS (NO);BASF SE;10.nov.10;8-May-2009;"A61P3/06; C07C51/09; C07B2200/07; C07C59/60; C07C69/708; C07C67/31; C07C69/734";"C07C67/31; A61K31/19; A61K31/22; A61P3/06; C07C51/06; C07C51/09; C07C59/60; C07C69/708";EP2248798A1;EP;EP;13.16;08-May-2009;2009;"LILLEGRAVEN RITA (0125 OSLO, NO); LILLEGRAVEN RITA IID 101119834 ZACCO NORWAY AS PATENT DEPARTMENT HAAKON VII S GT 2 PO BOX 2003 VIKA 0125 OSLO NO";ZACCO NORWAY AS PATENT DEPARTMENT HAAKON VII'S GT 2 PO BOX 2003 VIKA;NO;NO-3;1;3;DEAD;0;No;No;None;26.51;25.55;0;Application;41066048
EP2184089B1;Ski binding with a spring as flexor;EP;ROTTEFELLA AS  ( NO );ROTTEFELLA AS (NO);ROTTEFELLA AS (NO);ROTTEFELLA AS;06.jan.16;07.nov.08;"A63C9/0807; A63C9/20; A63C2201/06; A63C9/086";"A63C9/086; A63C9/08; A63C9/20";"EP2184089A1 / EP2184089B1
 PL2184089T3";EP, PL;EP;15.92;07.nov.08;2008;ZACCO NORWAY AS (0125 NORWAY, NO);HAAKON VII'S GATE 2 PO BOX 2003 VIKA;NO;NO-4;1;4;ALIVE;37;No;No;None;mai.19;24.apr;13.35;Patent;40474848
